,tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount,option_type,strike_price,expiry
48,"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),CLF,Cleveland-Cliffs Inc,"$50,001 - $100,000",,,
49,"
                                        05/10/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),CLF,Cleveland-Cliffs Inc,"$100,001 - $250,000",,,
50,"
                                        05/09/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,KEY,Keycorp,"$1,001 - $15,000",Put,15.00,09/20/2024
51,"
                                        05/09/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,INTC,Intel Corporation - Common Stock,"$50,001 - $100,000",,,
52,"
                                        05/08/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,GOLD,Barrick Gold Corp,"$1,001 - $15,000",Put,17.00,01/17/2025
53,"
                                        05/08/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,GOLD,Barrick Gold Corp,"$1,001 - $15,000",Put,17.00,01/17/2025
54,"
                                        05/08/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,ADBE,Adobe Systems Inc,"$15,001 - $50,000",Put,500.00,12/20/2024
55,"
                                        05/08/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),SWKS,"Skyworks Solutions, Inc. - Common Stock","$1,001 - $15,000",,,
56,"
                                        05/08/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,INTC,Intel Corporation - Common Stock,"$100,001 - $250,000",,,
57,"
                                        05/08/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),GILD,"Gilead Sciences, Inc. - Common Stock","$1,001 - $15,000",,,
58,"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,FITB,Fifth Third Bancorp - Common Stock,"$1,001 - $15,000",Call,30.00,05/17/2024
59,"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,GOLD,Barrick Gold Corp,"$1,001 - $15,000",Call,20.00,01/17/2025
60,"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",Call,20.00,06/21/2024
61,"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CVX,Chevron Corporation Common Stock,"$1,001 - $15,000",Put,145.00,09/20/2024
62,"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CLF,Cleveland-Cliffs Inc,"$1,001 - $15,000",Call,20.00,11/15/2024
63,"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,CCJ,Cameco Corporation Common Stock,"$1,001 - $15,000",Put,45.00,09/20/2024
64,"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),LSCC,Lattice Semiconductor Corporation - Common Stock,"$1,001 - $15,000",,,
65,"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,INTC,Intel Corporation - Common Stock,"$100,001 - $250,000",,,
66,"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),FITB,Fifth Third Bancorp - Common Stock,"$15,001 - $50,000",,,
67,"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),GOLD,Barrick Gold Corp,"$100,001 - $250,000",,,
68,"
                                        05/07/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),WMS,"Advanced Drainage Systems, Inc. Common Stock","$1,001 - $15,000",,,
69,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),WAT,Waters Corporation Common Stock,"$1,001 - $15,000",,,
70,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),V,Visa Inc.,"$1,001 - $15,000",,,
71,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),VRTX,Vertex Pharmaceuticals Incorporated - Common Stock,"$1,001 - $15,000",,,
72,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),VRSK,"Verisk Analytics, Inc. - Common Stock","$1,001 - $15,000",,,
73,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),UI,Ubiquiti Inc. Common Stock,"$1,001 - $15,000",,,
74,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),TER,"Teradyne, Inc. - Common Stock","$1,001 - $15,000",,,
75,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),TEL,Te Connectivity Ltd,"$1,001 - $15,000",,,
76,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),SNPS,"Synopsys, Inc. - Common Stock","$1,001 - $15,000",,,
77,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Purchase,SOLV,Solventum Corporation Common Stock,"$1,001 - $15,000",,,
78,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),--,ROLLS-ROYCE HOLDINGS PLC ADR,"$1,001 - $15,000",,,
79,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),--,ROLLS-ROYCE HOLDINGS PLC ADR,"$1,001 - $15,000",,,
80,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),--,ROLLS-ROYCE HOLDINGS PLC ADR,"$1,001 - $15,000",,,
81,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),RMD,ResMed Inc. Common Stock,"$1,001 - $15,000",,,
82,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),RELX,Relx Plc ADR,"$1,001 - $15,000",,,
83,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),QLYS,"Qualys, Inc. - Common Stock","$1,001 - $15,000",,,
84,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),PG,Procter & Gamble Company (The) Common Stock,"$1,001 - $15,000",,,
85,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),PFE,"Pfizer, Inc. Common Stock","$15,001 - $50,000",,,
86,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),PEP,"PepsiCo, Inc. - Common Stock","$1,001 - $15,000",,,
87,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),PYPL,"PayPal Holdings, Inc. - Common Stock","$100,001 - $250,000",,,
88,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),PAYX,"Paychex, Inc. - Common Stock","$1,001 - $15,000",,,
89,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),ODFL,"Old Dominion Freight Line, Inc. - Common Stock","$1,001 - $15,000",,,
90,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),NDSN,Nordson Corporation - Common Stock,"$1,001 - $15,000",,,
91,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),NXPI,NXP Semiconductors N.V. - Common Stock,"$1,001 - $15,000",,,
92,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),NFLX,"Netflix, Inc. - Common Stock","$1,001 - $15,000",,,
93,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),MSI,"Motorola Solutions, Inc. Common Stock","$1,001 - $15,000",,,
94,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),MCO,Moody's Corporation Common Stock,"$1,001 - $15,000",,,
95,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),MPWR,"Monolithic Power Systems, Inc. - Common Stock","$1,001 - $15,000",,,
96,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),MA,Mastercard Incorporated Common Stock,"$1,001 - $15,000",,,
97,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),LULU,lululemon athletica inc. - Common Stock,"$1,001 - $15,000",,,
98,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),KLAC,KLA Corporation  - Common Stock,"$1,001 - $15,000",,,
99,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),INFY,Infosys Limited American Depositary Shares,"$1,001 - $15,000",,,
100,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),ITW,Illinois Tool Works Inc. Common Stock,"$1,001 - $15,000",,,
101,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),HUMA,"Humacyte, Inc. - Common Stock","$1,001 - $15,000",,,
102,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Partial),HUMA,"Humacyte, Inc. - Common Stock","$15,001 - $50,000",,,
103,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),HSY,The Hershey Company Common Stock,"$1,001 - $15,000",,,
104,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),JKHY,"Jack Henry & Associates, Inc. - Common Stock","$1,001 - $15,000",,,
105,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),GGG,Graco Inc. Common Stock,"$1,001 - $15,000",,,
106,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),GRMN,Garmin Ltd. - Common Stock,"$1,001 - $15,000",,,
107,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),GLPI,"Gaming and Leisure Properties, Inc. - Common Stock","$1,001 - $15,000",,,
108,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),FDS,FactSet Research Systems Inc. Common Stock,"$1,001 - $15,000",,,
109,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),ELS,"Equity Lifestyle Properties, Inc. Common Stock","$1,001 - $15,000",,,
110,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),DECK,Deckers Outdoor Corporation Common Stock,"$1,001 - $15,000",,,
111,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),CPRT,"Copart, Inc. - Common Stock","$1,001 - $15,000",,,
112,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),CBSH,"Commerce Bancshares, Inc. - Common Stock","$1,001 - $15,000",,,
113,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),CTAS,Cintas Corporation - Common Stock,"$1,001 - $15,000",,,
114,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),CDNS,"Cadence Design Systems, Inc. - Common Stock","$1,001 - $15,000",,,
115,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),DOW,Dow Inc. Common Stock,"$1,001 - $15,000",,,
116,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),BRO,"Brown & Brown, Inc. Common Stock","$1,001 - $15,000",,,
117,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),ASML,ASML Holding N.V. - New York Registry Shares,"$15,001 - $50,000",,,
118,"
                                        05/03/2024
                                    ",06/14/2024,Tuberville,Thomas H,Sale (Full),A,"Agilent Technologies, Inc. Common Stock","$1,001 - $15,000",,,
119,"
                                        06/04/2024
                                    ",06/13/2024,"McConnell, Jr.",A. Mitchell,Purchase,WFC,Wells Fargo & Company,"$1,001 - $15,000",,,
120,"
                                        06/03/2024
                                    ",06/10/2024,Hickenlooper,John W,Sale (Full),FWONK,Liberty Media Formula One Sr C,"$100,001 - $250,000",,,
121,"
                                        06/03/2024
                                    ",06/10/2024,Hickenlooper,John W,Purchase,FWONK,Liberty Media Formula One Sr C,"$100,001 - $250,000",,,
122,"
                                        05/20/2024
                                    ",06/10/2024,Hickenlooper,John W,Sale (Full),FWONK,Liberty Media Formula One Sr C,"$250,001 - $500,000",,,
123,"
                                        05/20/2024
                                    ",06/10/2024,Hickenlooper,John W,Purchase,FWONK,Liberty Media Formula One Sr C,"$100,001 - $250,000",,,
124,"
                                        06/07/2024
                                    ",06/07/2024,Mullin,Markwayne,Sale (Partial),--,Ishares TR Russell 1000 ETF,"$50,001 - $100,000",,,
125,"
                                        05/08/2024
                                    ",06/07/2024,Mullin,Markwayne,Sale (Partial),IWB,iShares Russell 1000 ETF,"$100,001 - $250,000",,,
126,"
                                        05/08/2024
                                    ",06/07/2024,Mullin,Markwayne,Sale (Partial),--,Pimco Commodities Plus Strategy Fund Class,"$15,001 - $50,000",,,
127,"
                                        05/10/2024
                                    ",06/06/2024,Whitehouse,Sheldon,Purchase,CCI,Crown Castle Inc,"$1,001 - $15,000",,,
128,"
                                        05/08/2024
                                    ",06/06/2024,Whitehouse,Sheldon,Sale (Full),DEO,Diageo Plc ADR,"$15,001 - $50,000",,,
129,"
                                        05/31/2024
                                    ",06/05/2024,Boozman,John,Purchase,GIGB,Goldman Sachs Access Investment Grade Corporate Bo,"$1,001 - $15,000",,,
130,"
                                        05/31/2024
                                    ",06/05/2024,Boozman,John,Sale (Partial),IVW,iShares S&P 500 Growth ETF,"$1,001 - $15,000",,,
131,"
                                        05/31/2024
                                    ",06/05/2024,Boozman,John,Sale (Partial),EFA,iShares MSCI EAFE ETF,"$1,001 - $15,000",,,
132,"
                                        05/22/2024
                                    ",06/03/2024,Carper,Thomas R,Purchase,TGT,Target Corp,"$1,001 - $15,000",,,
133,"
                                        05/16/2024
                                    ",06/03/2024,Carper,Thomas R,Purchase,VEA,Vanguard FTSE Developed Markets ETF,"$1,001 - $15,000",,,
134,"
                                        05/16/2024
                                    ",06/03/2024,Carper,Thomas R,Sale (Full),PRF,Invesco FTSE RAFI US 1000 ETF,"$1,001 - $15,000",,,
135,"
                                        05/16/2024
                                    ",06/03/2024,Carper,Thomas R,Purchase,VIG,Vanguard Div Appreciation ETF,"$1,001 - $15,000",,,
136,"
                                        05/16/2024
                                    ",06/03/2024,Carper,Thomas R,Purchase,COWZ,Pacer US Cash Cows 100 Index,"$1,001 - $15,000",,,
137,"
                                        05/16/2024
                                    ",06/03/2024,Carper,Thomas R,Purchase,ICOW,Pacer Developed Markets International Cash,"$1,001 - $15,000",,,
138,"
                                        05/16/2024
                                    ",06/03/2024,Carper,Thomas R,Sale (Full),EFAD,Proshares MSCI EAFE Dividend Growers ETF,"$1,001 - $15,000",,,
139,"
                                        05/16/2024
                                    ",06/03/2024,Carper,Thomas R,Sale (Partial),FDRR,Fidelity Dividend ETF For Rising Rates,"$1,001 - $15,000",,,
140,"
                                        05/16/2024
                                    ",06/03/2024,Carper,Thomas R,Purchase,VEA,Vanguard FTSE Developed Markets ETF,"$1,001 - $15,000",,,
141,"
                                        05/16/2024
                                    ",06/03/2024,Carper,Thomas R,Sale (Full),EFAD,Proshares MSCI EAFE Dividend Growers ETF,"$1,001 - $15,000",,,
142,"
                                        05/15/2024
                                    ",06/03/2024,Carper,Thomas R,Sale (Full),SMDV,ProShares Russell 2000 Dividend Growers ETF,"$1,001 - $15,000",,,
143,"
                                        05/15/2024
                                    ",06/03/2024,Carper,Thomas R,Purchase,CALF,Pacer US Small Cap Cash Cows 100 ETF,"$1,001 - $15,000",,,
144,"
                                        05/14/2024
                                    ",06/03/2024,Carper,Thomas R,Purchase,SRVR,Pacer Benchmark Data & Infrastructure Real Estate,"$1,001 - $15,000",,,
145,"
                                        05/14/2024
                                    ",06/03/2024,Carper,Thomas R,Sale (Full),MOO,VanEck Agribusiness ETF,"$1,001 - $15,000",,,
146,"
                                        05/09/2024
                                    ",06/03/2024,Carper,Thomas R,Sale (Full),ATKR,Atkore Inc,"$1,001 - $15,000",,,
147,"
                                        05/09/2024
                                    ",06/03/2024,Carper,Thomas R,Sale (Full),TTE,TotalEnergies SE,"$1,001 - $15,000",,,
148,"
                                        05/09/2024
                                    ",06/03/2024,Carper,Thomas R,Sale (Full),SBUX,Starbucks Corp,"$1,001 - $15,000",,,
149,"
                                        05/09/2024
                                    ",06/03/2024,Carper,Thomas R,Purchase,EMR,Emerson Electric Company,"$1,001 - $15,000",,,
150,"
                                        05/09/2024
                                    ",06/03/2024,Carper,Thomas R,Purchase,OXY,Occidental Petroleum Corp,"$1,001 - $15,000",,,
151,"
                                        05/14/2024
                                    ",05/23/2024,Peters,Gary C,Sale (Full),SOLV,Solventum Corporation,"$1,001 - $15,000",,,
152,"
                                        05/14/2024
                                    ",05/23/2024,Peters,Gary C,Sale (Full),CCL,Carnival Corp,"$1,001 - $15,000",,,
153,"
                                        05/14/2024
                                    ",05/23/2024,Peters,Gary C,Sale (Full),SLB,Schlumberger N.V.,"$1,001 - $15,000",,,
154,"
                                        05/14/2024
                                    ",05/23/2024,Peters,Gary C,Sale (Full),IFF,International Flavors & Fragrances,"$15,001 - $50,000",,,
155,"
                                        04/09/2024
                                    ",05/20/2024,Whitehouse,Sheldon,Sale (Full),RTX,RTX Corporation Common Stock,"$15,001 - $50,000",,,
156,"
                                        04/09/2024
                                    ",05/20/2024,Whitehouse,Sheldon,Sale (Full),DHR,Danaher Corp,"$15,001 - $50,000",,,
157,"
                                        04/09/2024
                                    ",05/20/2024,Whitehouse,Sheldon,Sale (Full),UL,Unilever Plc ADR,"$1,001 - $15,000",,,
158,"
                                        04/09/2024
                                    ",05/20/2024,Whitehouse,Sheldon,Sale (Full),IR,Ingersoll Rand Inc,"$1,001 - $15,000",,,
159,"
                                        04/09/2024
                                    ",05/20/2024,Whitehouse,Sheldon,Sale (Partial),NVS,Novartis Ag ADR,"$1,001 - $15,000",,,
160,"
                                        04/30/2024
                                    ",05/15/2024,Tuberville,Thomas H,Sale (Full),WBA,"Walgreens Boots Alliance, Inc. - Common Stock","$50,001 - $100,000",,,
161,"
                                        04/30/2024
                                    ",05/15/2024,Tuberville,Thomas H,Purchase,PYPL,"PayPal Holdings, Inc. - Common Stock","$1,001 - $15,000",Put,75.00,06/21/2024
162,"
                                        04/30/2024
                                    ",05/15/2024,Tuberville,Thomas H,Sale (Full),SBLK,Star Bulk Carriers Corp. - Common Shares,"$50,001 - $100,000",,,
163,"
                                        04/30/2024
                                    ",05/15/2024,Tuberville,Thomas H,Sale (Full),SSBK,"Southern States Bancshares, Inc. - Common Stock","$50,001 - $100,000",,,
164,"
                                        04/30/2024
                                    ",05/15/2024,Tuberville,Thomas H,Sale (Full),OXY,Occidental Petroleum Corporation Common Stock,"$15,001 - $50,000",,,
165,"
                                        04/30/2024
                                    ",05/15/2024,Tuberville,Thomas H,Sale (Full),NVDA,NVIDIA Corporation - Common Stock,"$15,001 - $50,000",,,
166,"
                                        04/30/2024
                                    ",05/15/2024,Tuberville,Thomas H,Sale (Full),KEY,KeyCorp Common Stock,"$50,001 - $100,000",,,
167,"
                                        04/30/2024
                                    ",05/15/2024,Tuberville,Thomas H,Sale (Full),GOGL,Golden Ocean Group Limited - Common Stock,"$50,001 - $100,000",,,
168,"
                                        04/30/2024
                                    ",05/15/2024,Tuberville,Thomas H,Sale (Full),XOM,Exxon Mobil Corporation Common Stock,"$50,001 - $100,000",,,
169,"
                                        04/30/2024
                                    ",05/15/2024,Tuberville,Thomas H,Sale (Full),CVX,Chevron Corporation Common Stock,"$100,001 - $250,000",,,
170,"
                                        04/30/2024
                                    ",05/15/2024,Tuberville,Thomas H,Sale (Partial),HUMA,"Humacyte, Inc. - Common Stock","$50,001 - $100,000",,,
171,"
                                        04/29/2024
                                    ",05/15/2024,Tuberville,Thomas H,Purchase,LSCC,Lattice Semiconductor Corporation - Common Stock,"$1,001 - $15,000",Put,70.00,09/20/2024
