tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount,option_type,strike_price,expiry
01/18/2022,02/03/2022,Carper,Thomas R,Sale (Partial),IWN,iShares Russell 2000 Value ETF,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,PTNQ,Pacer Trendpilot 100 ETF,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,JCI,Johnson Controls International plc Ordinary Share,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,MOS,Mosaic Company (The) Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,DIS,Walt Disney Company (The) Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,PTMC,Pacer Trendpilot US Mid Cap ETF,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,IGHG,ProShares Investment Grade-Interest Rate Hedged,"$15,001 - $50,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,AQN,Algonquin Power and Utilities Corp,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,ITA,iShares U.S. Aerospace & Defense ETF,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,LDP,Cohen & Steers Limited Duration Preferred and Inco,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,GLD,SPDR Gold Trust,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,CEF,Sprott Physical Gold & Silver Trust,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,BMY,Bristol-Myers Squibb Company Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,FCPIX,Fidelity Advisor International Capital Appreciat,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,GMRE,Global Medical REIT Inc. Common Stock,"$1,001 - $15,000",,,
01/18/2022,02/03/2022,Carper,Thomas R,Purchase,AY,Atlantica Sustainable Infrastructure plc - Ordinar,"$1,001 - $15,000",,,
01/14/2022,02/14/2022,Tuberville,Thomas H,Sale (Full),RTX,Raytheon Technologies Corporation Common Stock,"$1,001 - $15,000",,,
01/14/2022,02/14/2022,Tuberville,Thomas H,Purchase,BABA,Alibaba Group Holding Limited American Depositary,"$15,001 - $50,000",Put,245.00,01/21/2022
01/14/2022,02/14/2022,Tuberville,Thomas H,Sale (Full),QCOM,QUALCOMM Incorporated - Common Stock                                                                                                                                                                    Option Type: Short Sale Strike price: $170.00                                                Expires: 07/15/2022,"$15,001 - $50,000",,,
01/14/2022,02/14/2022,Tuberville,Thomas H,Purchase,BABA,Alibaba Group Holding Limited American Depositary,"$15,001 - $50,000",Put,230.00,09/16/2022
01/14/2022,02/14/2022,Tuberville,Thomas H,Purchase,BABA,Alibaba Group Holding Limited American Depositary,"$50,001 - $100,000",Put,230.00,09/16/2022
